S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent
4,South Australia,41140,Clare and Gilbert Valleys,2659,56.86484175,2739,57.91922182,5398,57.39500266
4,South Australia,41190,Cleve,544,58.36909871,444,53.81818182,988,56.232214
4,South Australia,41330,Coober Pedy,497,54.91712707,411,63.72093023,908,58.58064516
4,South Australia,41560,Copper Coast,4251,52.59185946,4120,52.3640061,8371,52.47946837
4,South Australia,41750,Elliston,324,59.01639344,297,60.36585366,621,59.65417867
4,South Australia,41830,Flinders Ranges,466,53.74855825,435,53.97022333,901,53.85534967
4,South Australia,41960,Franklin Harbour,365,52.74566474,340,53.125,705,52.92792793
4,South Australia,42030,Gawler,7956,61.18117502,8335,60.46427276,16291,60.81227369
4,South Australia,42110,Goyder,1177,55.20637899,1123,56.15,2300,55.66311713
4,South Australia,42250,Grant,3339,65.75423395,2444,61.62380232,5783,63.9429456
4,South Australia,42600,Holdfast Bay,11242,60.7938568,11969,59.03620401,23211,59.87463241
4,South Australia,42750,Kangaroo Island,1478,55.04655493,1351,55.36885246,2829,55.2
4,South Australia,43080,Karoonda East Murray,313,55.20282187,249,55.45657016,562,55.31496063
4,South Australia,43220,Kimba,313,56.60036166,289,57.11462451,602,56.84608121
4,South Australia,43360,Kingston (SA),664,54.65020576,666,56.53650255,1330,55.57877142
4,South Australia,43650,Light,5358,63.56625934,5357,65.43300354,10715,64.48603755
